GMUID,private_either_sex,private_female,public_either_sex,public_female,no_over_the_counter
201,False,False,False,False,True
2,False,False,False,False,True
93,False,False,True,False,False
3,False,False,True,True,False
92,False,False,True,False,False
90,False,False,True,False,False
89,False,False,True,False,False
161,False,False,True,True,False
6,False,False,True,True,False
88,False,False,True,False,False
87,False,False,True,False,False
7,False,False,False,False,True
8,False,False,False,False,True
191,False,False,False,False,True
9,False,False,False,False,True
91,False,False,True,False,False
1,False,False,False,False,True
441,True,True,False,False,False
301,False,False,True,True,False
16,False,False,True,True,False
171,False,False,True,True,False
17,False,False,True,True,False
98,False,False,True,False,False
11,False,False,True,True,False
95,False,False,True,False,False
96,False,False,True,False,False
97,False,False,True,False,False
20,False,False,False,False,True
94,False,False,True,False,False
211,False,False,True,True,False
131,False,False,True,True,False
18,False,False,True,True,False
951,False,False,True,False,False
15,False,False,True,True,False
181,False,False,True,True,False
27,False,False,True,True,False
12,True,True,False,False,False
231,False,False,True,True,False
99,False,False,True,False,False
100,False,False,True,False,False
22,False,False,True,True,False
21,False,False,True,True,False
23,True,True,False,False,False
101,False,False,True,False,False
26,False,False,True,True,False
24,True,True,False,False,False
28,False,False,True,True,False
29,False,False,False,False,True
102,False,False,True,False,False
37,False,False,True,True,False
104,False,False,False,False,True
25,False,False,True,True,False
38,False,False,True,True,False
35,False,False,True,False,False
371,False,False,True,True,False
33,True,True,False,False,False
39,False,False,False,False,True
34,False,False,True,True,False
103,False,False,True,False,False
391,False,False,False,False,True
107,False,False,True,False,False
31,False,False,True,True,False
106,False,False,True,False,False
105,False,False,True,False,False
32,False,False,True,True,False
109,False,False,True,False,False
44,False,False,False,False,True
30,False,False,True,True,False
45,False,False,False,False,True
444,False,False,False,False,True
46,False,False,False,False,True
42,True,True,False,False,False
43,False,False,True,True,False
461,False,False,False,False,True
51,False,False,False,False,True
500,False,False,False,False,True
501,False,False,False,False,True
421,True,True,False,False,False
47,False,False,False,False,True
49,False,False,False,False,True
48,False,False,False,False,True
50,False,False,False,False,True
117,False,False,True,False,False
116,False,False,True,False,False
115,False,False,True,False,False
114,False,False,True,False,False
521,True,False,False,False,False
112,False,False,True,False,False
111,False,False,True,False,False
40,False,False,False,False,True
41,True,True,False,False,False
471,False,False,True,True,False
113,False,False,True,False,False
110,False,False,True,False,False
511,False,False,True,False,False
52,True,True,False,False,False
411,True,True,False,False,False
55,False,False,False,False,True
581,False,False,True,False,False
512,False,False,False,False,True
62,False,False,True,False,False
481,False,False,False,False,True
58,False,False,False,False,True
59,False,False,True,False,False
53,False,False,True,False,False
57,False,False,False,False,True
122,False,False,True,False,False
61,False,False,False,False,True
121,False,False,True,False,False
120,False,False,True,False,False
119,False,False,True,False,False
118,False,False,True,False,False
64,False,False,True,False,False
60,False,False,True,False,False
591,False,False,True,False,False
56,False,False,False,False,True
551,False,False,False,False,True
123,False,False,True,False,False
561,False,False,False,False,True
124,False,False,True,False,False
86,False,False,True,True,False
65,False,False,True,False,False
126,False,False,True,False,False
127,False,False,True,False,False
66,False,False,False,False,True
691,False,False,True,True,False
125,False,False,True,False,False
82,False,False,False,False,True
69,False,False,False,False,True
70,False,False,False,False,True
84,False,False,False,False,True
681,False,False,True,False,False
128,False,False,True,False,False
68,False,False,True,False,False
682,False,False,False,True,False
129,False,False,True,False,False
132,False,False,True,False,False
146,False,False,True,False,False
711,False,False,False,False,True
130,False,False,True,False,False
135,False,False,True,False,False
74,False,False,False,False,True
76,False,False,False,False,True
79,False,False,False,False,True
75,False,False,False,False,True
861,False,False,True,True,False
71,False,False,False,False,True
72,False,False,False,False,True
133,False,False,True,True,False
791,False,False,False,True,False
85,False,False,True,True,False
134,False,False,True,True,False
136,False,False,True,False,False
139,False,False,True,False,False
751,False,False,False,False,True
80,False,False,False,False,True
138,False,False,True,False,False
77,False,False,False,False,True
137,False,False,True,False,False
83,False,False,True,False,False
142,False,False,True,True,False
147,False,False,True,False,False
73,False,False,False,False,True
78,False,False,False,False,True
141,False,False,True,True,False
81,False,False,False,False,True
144,False,False,True,False,False
741,False,False,False,False,True
143,False,False,True,False,False
771,False,False,False,False,True
851,False,False,False,False,True
140,False,False,True,True,False
145,False,False,True,False,False
4,True,True,False,False,False
10,False,False,False,False,True
5,True,True,False,False,False
214,False,False,True,False,False
19,False,False,False,False,True
14,False,False,True,False,False
361,False,False,True,False,False
36,False,False,True,False,False
13,False,False,True,True,False
54,False,False,False,False,True
63,False,False,True,False,False
67,False,False,False,False,True
